pk_kpi;codigo;hospital;estado;total_int;tmi;int_cli;tmi_cli;cpi_cli;cpd_cli;total_diaria_cli;custo_total_cli;total_cobrado_cli;total_liberado_cli;total_glosado_cli;total_glosado_cli_perc;int_cir;tmi_cir;cpi_cir;cpd_cir;total_diaria_cir;custo_total_cir;total_cobrado_cir;total_liberado_cir;total_glosado_cir;total_glosado_cir_perc;total_cobrado;total_liberado;total_glosado;total_glosado_perc;referencia
87;28916;HOSPITAL PORTUGUES (SSA);BA;148;2,9392;84;4,3929;18.980,23;4.320,70;369;1.594.339,27;1.687.332,04;1.594.339,27;92.992,77;5,51;64;1,0313;39.687,89;38.485,23;66;2.540.025,07;2.660.773,33;2.540.025,07;120.748,26;4,54;4.348.105,37;4.134.364,34;213.741,03;4,92;01/03/2022
88;28916;HOSPITAL PORTUGUES (SSA);BA;136;3,8603;79;5,9747;27.496,23;4.602,12;472;2.172.202,50;2.238.482,50;2.172.202,50;66.280,00;2,96;57;0,9298;61.568,32;66.214,98;53;3.509.394,19;3.596.255,59;3.509.394,19;86.861,40;2,42;5.834.738,09;5.681.596,69;153.141,40;2,62;01/04/2022
89;28916;HOSPITAL PORTUGUES (SSA);BA;126;2,8968;71;4,4648;21.115,23;4.729,28;317;1.499.181,42;1.548.816,75;1.499.181,42;49.635,33;3,2;55;0,8727;41.148,59;47.149,43;48;2.263.172,48;2.334.999,74;2.263.172,48;71.827,26;3,08;3.883.816,49;3.762.353,90;121.462,59;3,13;01/05/2022
90;28916;HOSPITAL PORTUGUES (SSA);BA;142;3,1549;70;5,1;19.890,53;3.900,10;357;1.392.337,44;1.444.891,77;1.392.337,44;52.554,33;3,64;72;1,2639;51.297,01;40.586,65;91;3.693.384,73;3.732.401,72;3.693.384,73;39.016,99;1,05;5.177.293,49;5.085.722,17;91.571,32;1,77;01/06/2022
91;297712;HOSPITAL PROFESSOR JORGE VALENTE;BA;21;3,7143;17;4,3529;20.019,43;4.599,06;74;340.330,33;344.097,09;340.330,33;3.766,76;1,09;4;1;13.143,79;13.143,79;4;52.575,17;52.575,17;52.575,17;0;0;396.672,26;392.905,50;3.766,76;0,95;01/01/2022
92;297712;HOSPITAL PROFESSOR JORGE VALENTE;BA;31;2,7742;19;2,7368;17.453,63;6.377,29;52;331.618,98;334.962,09;331.618,98;3.343,11;1;12;2,8333;16.718,14;5.900,52;34;200.617,66;201.115,87;200.617,66;498,21;0,25;536.077,96;532.236,64;3.841,32;0,72;01/02/2022
93;297712;HOSPITAL PROFESSOR JORGE VALENTE;BA;42;4,3571;31;5,5484;16.811,16;3.029,92;172;521.145,91;525.768,88;521.145,91;4.622,97;0,88;11;1;10.400,02;10.400,02;11;114.400,26;114.711,36;114.400,26;311,1;0,27;640.480,24;635.546,17;4.934,07;0,77;01/03/2022
94;297712;HOSPITAL PROFESSOR JORGE VALENTE;BA;30;4,9333;21;6,2381;26.502,94;4.248,56;131;556.561,74;560.090,05;556.561,74;3.528,31;0,63;9;1,8889;9.954,62;5.270,10;17;89.591,62;90.020,76;89.591,62;429,14;0,48;650.110,81;646.153,36;3.957,45;0,61;01/04/2022
95;297712;HOSPITAL PROFESSOR JORGE VALENTE;BA;20;3,65;13;5;18.580,72;3.716,14;65;241.549,37;244.289,71;241.549,37;2.740,34;1,12;7;1,1429;8.761,64;7.666,44;8;61.331,50;61.589,84;61.331,50;258,34;0,42;305.879,55;302.880,87;2.998,68;0,98;01/05/2022
96;297712;HOSPITAL PROFESSOR JORGE VALENTE;BA;30;3,3333;18;4,7778;9.781,14;2.047,22;86;176.060,49;179.858,01;176.060,49;3.797,52;2,11;12;1,1667;14.354,17;12.303,58;14;172.250,05;172.822,43;172.250,05;572,38;0,33;352.680,44;348.310,54;4.369,90;1,24;01/06/2022
97;224111;HOSPITAL PROHOPE LTDA;BA;7;3;5;3,6;28.349,34;7.874,82;18;141.746,70;144.567,89;141.746,70;2.821,19;1,95;2;1,5;43.363,48;28.908,98;3;86.726,95;86.792,21;86.726,95;65,26;0,08;231.360,10;228.473,65;2.886,45;1,25;01/01/2022
98;224111;HOSPITAL PROHOPE LTDA;BA;3;3;2;4;12.486,25;3.121,56;8;24.972,50;25.320,29;24.972,50;347,79;1,37;1;1;2.359,66;2.359,66;1;2.359,66;2.359,66;2.359,66;0;0;27.679,95;27.332,16;347,79;1,26;01/02/2022
99;224111;HOSPITAL PROHOPE LTDA;BA;1;1;0;0;0;0;0;0;0;0;0;0;1;1;38.311,80;38.311,80;1;38.311,80;38.388,51;38.311,80;76,71;0,2;38.388,51;38.311,80;76,71;0,2;01/03/2022
100;224111;HOSPITAL PROHOPE LTDA;BA;7;7,1429;2;22,5;367.896,42;16.350,95;45;735.792,84;829.370,08;735.792,84;93.577,24;11,28;5;1;20.005,56;20.005,56;5;100.027,80;100.959,77;100.027,80;931,97;0,92;930.329,85;835.820,64;94.509,21;10,16;01/04/2022
101;224111;HOSPITAL PROHOPE LTDA;BA;6;11,1667;6;11,1667;60.391,19;5.408,17;67;362.347,15;366.581,13;362.347,15;4.233,98;1,15;0;0;0;0;0;0;0;0;0;0;366.581,13;362.347,15;4.233,98;1,15;01/06/2022
102;206318;HOSPITAL SANTA HELENA;BA;60;1,6833;20;3,45;17.422,77;5.050,08;69;348.455,31;352.310,61;348.455,31;3.855,30;1,09;40;0,8;4.135,04;5.168,80;32;165.401,73;166.512,67;165.401,73;1.110,94;0,67;518.823,28;513.857,04;4.966,24;0,96;01/01/2022
103;206318;HOSPITAL SANTA HELENA;BA;46;1,8478;20;3,65;15.435,89;4.229,01;73;308.717,72;309.815,24;308.717,72;1.097,52;0,35;26;0,4615;2.679,44;5.805,45;12;69.665,42;69.933,72;69.665,42;268,3;0,38;379.748,96;378.383,14;1.365,82;0,36;01/02/2022
104;206318;HOSPITAL SANTA HELENA;BA;68;1,3382;26;2,2692;4.593,16;2.024,10;59;119.422,13;120.191,52;119.422,13;769,39;0,64;42;0,7619;3.521,61;4.622,11;32;147.907,50;149.787,22;147.907,50;1.879,72;1,25;269.978,74;267.329,63;2.649,11;0,98;01/03/2022
105;206318;HOSPITAL SANTA HELENA;BA;79;1,5316;28;3,2857;10.481,90;3.190,14;92;293.493,11;296.175,58;293.493,11;2.682,47;0,91;51;0,5686;3.563,71;6.267,22;29;181.749,37;183.184,26;181.749,37;1.434,89;0,78;479.359,84;475.242,48;4.117,36;0,86;01/04/2022
106;206318;HOSPITAL SANTA HELENA;BA;84;1,619;33;3;8.828,73;2.942,91;99;291.348,17;294.807,07;291.348,17;3.458,90;1,17;51;0,7255;3.143,24;4.332,58;37;160.305,45;162.050,58;160.305,45;1.745,13;1,08;456.857,65;451.653,62;5.204,03;1,14;01/05/2022
107;206318;HOSPITAL SANTA HELENA;BA;88;1,7841;32;3,7188;8.327,17;2.239,24;119;266.469,38;266.982,88;266.469,38;513,5;0,19;56;0,6786;5.021,77;7.400,50;38;281.218,88;284.722,05;281.218,88;3.503,17;1,23;551.704,93;547.688,26;4.016,67;0,73;01/06/2022
108;59811;HOSPITAL SANTA IZABEL ;BA;88;3,7045;41;6,3171;20.622,01;3.264,49;259;845.502,30;878.271,20;845.502,30;32.768,90;3,73;47;1,4255;18.171,12;12.746,91;67;854.042,75;924.221,68;854.042,75;70.178,93;7,59;1.802.492,88;1.699.545,05;102.947,83;5,71;01/01/2022
109;59811;HOSPITAL SANTA IZABEL ;BA;73;5,0822;35;8,4286;35.479,52;4.209,43;295;1.241.783,06;1.296.333,07;1.241.783,06;54.550,01;4,21;38;2;23.097,21;11.548,60;76;877.693,80;920.195,97;877.693,80;42.502,17;4,62;2.216.529,04;2.119.476,86;97.052,18;4,38;01/02/2022
110;59811;HOSPITAL SANTA IZABEL ;BA;134;4,2687;59;7,6441;38.093,90;4.983,46;451;2.247.540,23;2.306.537,34;2.247.540,23;58.997,11;2,56;75;1,6133;19.037,50;11.800,10;121;1.427.812,25;1.505.336,87;1.427.812,25;77.524,62;5,15;3.811.874,21;3.675.352,48;136.521,73;3,58;01/03/2022
111;59811;HOSPITAL SANTA IZABEL ;BA;104;4,0673;47;6,9574;25.629,98;3.683,82;327;1.204.608,88;1.228.359,17;1.204.608,88;23.750,29;1,93;57;1,6842;14.678,10;8.715,12;96;836.651,53;959.017,82;836.651,53;122.366,29;12,76;2.187.376,99;2.041.260,41;146.116,58;6,68;01/04/2022
112;59811;HOSPITAL SANTA IZABEL ;BA;85;4,2588;39;6,9231;28.884,47;4.172,20;270;1.126.494,39;1.144.467,90;1.126.494,39;17.973,51;1,57;46;2;22.232,04;11.116,02;92;1.022.673,75;1.048.796,81;1.022.673,75;26.123,06;2,49;2.193.264,71;2.149.168,14;44.096,57;2,01;01/05/2022
113;59811;HOSPITAL SANTA IZABEL ;BA;84;4,0833;39;6,5385;24.638,06;3.768,17;255;960.884,43;994.461,41;960.884,43;33.576,98;3,38;45;1,9556;18.952,90;9.691,82;88;852.880,35;910.299,90;852.880,35;57.419,55;6,31;1.904.761,31;1.813.764,78;90.996,53;4,78;01/06/2022
114;31518;HOSPITAL SANTO AMARO;BA;89;1,7528;47;2,5106;11.394,24;4.538,38;118;535.529,12;537.236,39;535.529,12;1.707,27;0,32;42;0,9048;21.804,95;24.100,21;38;915.808,05;975.563,08;915.808,05;59.755,03;6,13;1.512.799,47;1.451.337,17;61.462,30;4,06;01/01/2022
115;31518;HOSPITAL SANTO AMARO;BA;111;2,1712;72;2,8056;9.989,12;3.560,48;202;719.216,82;725.822,44;719.216,82;6.605,62;0,91;39;1;36.860,37;36.860,37;39;1.437.554,43;1.523.147,63;1.437.554,43;85.593,20;5,62;2.248.970,07;2.156.771,25;92.198,82;4,1;01/02/2022
116;31518;HOSPITAL SANTO AMARO;BA;133;1,985;59;3,1695;14.131,40;4.458,57;187;833.752,45;834.716,11;833.752,45;963,66;0,12;74;1,0405;30.224,42;29.046,84;77;2.236.606,84;2.353.592,50;2.236.606,84;116.985,66;4,97;3.188.308,61;3.070.359,29;117.949,32;3,7;01/03/2022
117;31518;HOSPITAL SANTO AMARO;BA;81;1,642;42;2,2381;9.268,21;4.141,12;94;389.264,87;389.831,00;389.264,87;566,13;0,15;39;1;26.360,33;26.360,33;39;1.028.052,76;1.101.696,99;1.028.052,76;73.644,23;6,68;1.491.527,99;1.417.317,63;74.210,36;4,98;01/04/2022
118;31518;HOSPITAL SANTO AMARO;BA;114;1,7895;60;2,4667;11.335,58;4.595,50;148;680.134,68;685.480,90;680.134,68;5.346,22;0,78;54;1,037;17.655,64;17.025,08;56;953.404,53;1.022.748,09;953.404,53;69.343,56;6,78;1.708.228,99;1.633.539,21;74.689,78;4,37;01/05/2022
119;31518;HOSPITAL SANTO AMARO;BA;72;2,0972;37;3,0541;15.370,20;5.032,72;113;568.697,45;575.665,09;568.697,45;6.967,64;1,21;35;1,0857;34.174,11;31.476,15;38;1.196.093,76;1.261.952,90;1.196.093,76;65.859,14;5,22;1.837.617,99;1.764.791,21;72.826,78;3,96;01/06/2022
120;447811;HOSPITAL SAO RAFAEL;BA;451;2,337;222;3,8829;34.256,70;8.822,49;862;7.604.988,04;7.848.448,11;7.604.988,04;243.460,07;3,1;229;0,8384;13.221,86;15.769,82;192;3.027.805,62;3.096.619,12;3.027.805,62;68.813,50;2,22;10.945.067,23;10.632.793,66;312.273,57;2,85;01/01/2022
121;447811;HOSPITAL SAO RAFAEL;BA;514;2,7062;237;5,1224;49.307,35;9.625,90;1214;11.685.843,04;12.120.252,77;11.685.843,04;434.409,73;3,58;277;0,639;12.895,41;20.180,95;177;3.572.028,39;3.643.542,83;3.572.028,39;71.514,44;1,96;15.763.795,60;15.257.871,43;505.924,17;3,21;01/02/2022
122;447811;HOSPITAL SAO RAFAEL;BA;427;3,8595;223;6,3408;54.153,67;8.540,50;1414;12.076.267,80;12.461.110,56;12.076.267,80;384.842,76;3,09;204;1,1471;15.457,07;13.475,40;234;3.153.242,75;3.265.715,30;3.153.242,75;112.472,55;3,44;15.726.825,86;15.229.510,55;497.315,31;3,16;01/03/2022
123;447811;HOSPITAL SAO RAFAEL;BA;494;3,164;245;5,5673;44.374,66;7.970,52;1364;10.871.791,40;12.027.082,04;10.871.791,40;378.064,54;3,14;249;0,7992;15.482,37;19.372,41;199;3.855.110,03;4.040.793,72;3.855.110,03;133.281,55;3,3;16.067.875,76;14.726.901,43;511.346,09;3,18;01/04/2022
124;447811;HOSPITAL SAO RAFAEL;BA;347;3,5072;201;5,0199;37.321,19;7.434,65;1009;7.501.559,15;8.131.507,48;7.501.559,15;254.262,33;3,13;146;1,4247;23.357,75;16.395,34;208;3.410.231,59;3.627.348,13;3.410.231,59;95.720,80;2,64;11.758.855,61;10.911.790,74;349.983,13;2,98;01/05/2022
125;447811;HOSPITAL SAO RAFAEL;BA;445;3,2539;269;4,7918;24.128,12;5.035,27;1289;6.490.464,77;6.818.455,96;6.490.464,77;145.943,86;2,14;176;0,9034;11.906,96;13.180,03;159;2.095.624,29;2.137.586,99;2.095.624,29;41.962,70;1,96;8.956.042,95;8.586.089,06;187.906,56;2,1;01/06/2022
126;137715;HTO ORTOPEDIA E TRAUMATOLOGIA ;BA;5;1,4;0;0;0;0;0;0;0;0;0;0;5;1,4;12.218,43;8.727,45;7;61.092,17;61.338,11;61.092,17;245,94;0,4;61.338,11;61.092,17;245,94;0,4;01/01/2022
127;137715;HTO ORTOPEDIA E TRAUMATOLOGIA ;BA;1;3;0;0;0;0;0;0;0;0;0;0;1;3;27.035,99;9.012,00;3;27.035,99;28.251,22;27.035,99;1.215,23;4,3;28.251,22;27.035,99;1.215,23;4,3;01/02/2022
128;137715;HTO ORTOPEDIA E TRAUMATOLOGIA ;BA;5;1,6;0;0;0;0;0;0;0;0;0;0;5;1,6;37.249,37;23.280,86;8;186.246,84;186.302,18;186.246,84;55,34;0,03;186.302,18;186.246,84;55,34;0,03;01/03/2022
129;137715;HTO ORTOPEDIA E TRAUMATOLOGIA ;BA;3;1,3333;0;0;0;0;0;0;0;0;0;0;3;1,3333;7.530,95;5.648,21;4;22.592,85;23.145,83;22.592,85;552,98;2,39;23.145,83;22.592,85;552,98;2,39;01/04/2022
130;137715;HTO ORTOPEDIA E TRAUMATOLOGIA ;BA;3;1,3333;1;1;72.507,51;72.507,51;1;72.507,51;72.507,51;72.507,51;0;0;2;1,5;15.020,86;10.013,91;3;30.041,73;30.041,73;30.041,73;0;0;102.549,24;102.549,24;0;0;01/05/2022
131;137715;HTO ORTOPEDIA E TRAUMATOLOGIA ;BA;2;1,5;0;0;0;0;0;0;0;0;0;0;2;1,5;20.978,93;13.985,95;3;41.957,86;42.000,67;41.957,86;42,81;0,1;42.000,67;41.957,86;42,81;0,1;01/06/2022
132;248312;ITAIGARA MEMORIAL HOSPITAL DIA ;BA;84;0,6548;2;0;4.508,15;0;0;9.016,29;9.016,29;9.016,29;0;0;82;0,6707;40.289,96;60.068,66;55;3.303.776,41;3.312.961,53;3.303.776,41;9.185,12;0,28;3.321.977,82;3.312.792,70;9.185,12;0,28;01/01/2022
133;248312;ITAIGARA MEMORIAL HOSPITAL DIA ;BA;97;0,7732;0;0;0;0;0;0;0;0;0;0;97;0,7732;39.031,92;50.481,29;75;3.786.096,55;3.798.554,87;3.786.096,55;12.458,32;0,33;3.798.554,87;3.786.096,55;12.458,32;0,33;01/02/2022
134;248312;ITAIGARA MEMORIAL HOSPITAL DIA ;BA;144;0,6736;0;0;0;0;0;0;0;0;0;0;144;0,6736;32.013,58;47.525,32;97;4.609.955,95;4.633.937,21;4.609.955,95;23.981,26;0,52;4.633.937,21;4.609.955,95;23.981,26;0,52;01/03/2022
135;248312;ITAIGARA MEMORIAL HOSPITAL DIA ;BA;129;0,6357;0;0;0;0;0;0;0;0;0;0;129;0,6357;30.259,11;47.602,75;82;3.903.425,53;3.918.983,47;3.903.425,53;15.557,94;0,4;3.918.983,47;3.903.425,53;15.557,94;0,4;01/04/2022
136;248312;ITAIGARA MEMORIAL HOSPITAL DIA ;BA;125;0,768;0;0;0;0;0;0;0;0;0;0;125;0,768;45.861,58;59.715,60;96;5.732.697,60;5.748.274,75;5.732.697,60;15.577,15;0,27;5.748.274,75;5.732.697,60;15.577,15;0,27;01/05/2022
137;248312;ITAIGARA MEMORIAL HOSPITAL DIA ;BA;142;0,662;0;0;0;0;0;0;0;0;0;0;142;0,662;39.268,58;59.320,63;94;5.576.139,00;5.602.113,34;5.576.139,00;25.974,34;0,46;5.602.113,34;5.576.139,00;25.974,34;0,46;01/06/2022
138;90913;PROBABY CLINICA INFANTIL E URGENCIA LTDA;BA;5;2,6;5;2,6;2.674,60;1.028,69;13;13.372,98;13.380,18;13.372,98;7,2;0,05;0;0;0;0;0;0;0;0;0;0;13.380,18;13.372,98;7,2;0,05;01/01/2022
139;90913;PROBABY CLINICA INFANTIL E URGENCIA LTDA;BA;5;5,4;5;5,4;6.327,96;1.171,84;27;31.639,78;31.639,78;31.639,78;0;0;0;0;0;0;0;0;0;0;0;0;31.639,78;31.639,78;0;0;01/02/2022
140;90913;PROBABY CLINICA INFANTIL E URGENCIA LTDA;BA;9;4,5556;9;4,5556;5.818,18;1.277,16;41;52.363,66;52.363,66;52.363,66;0;0;0;0;0;0;0;0;0;0;0;0;52.363,66;52.363,66;0;0;01/03/2022
141;90913;PROBABY CLINICA INFANTIL E URGENCIA LTDA;BA;15;4,6;15;4,6;5.371,07;1.167,62;69;80.566,06;80.615,60;80.566,06;49,54;0,06;0;0;0;0;0;0;0;0;0;0;80.615,60;80.566,06;49,54;0,06;01/04/2022
142;90913;PROBABY CLINICA INFANTIL E URGENCIA LTDA;BA;17;5,7059;17;5,7059;6.242,32;1.094,02;97;106.119,51;106.275,18;106.119,51;155,67;0,15;0;0;0;0;0;0;0;0;0;0;106.275,18;106.119,51;155,67;0,15;01/05/2022
143;90913;PROBABY CLINICA INFANTIL E URGENCIA LTDA;BA;15;4,8667;15;4,8667;5.365,84;1.102,57;73;80.487,64;80.487,64;80.487,64;0;0;0;0;0;0;0;0;0;0;0;0;80.487,64;80.487,64;0;0;01/06/2022
144;31313;SAMUR;BA;12;3,3333;6;6,1667;25.311,68;4.104,60;37;151.870,05;152.038,75;151.870,05;168,7;0,11;6;0,5;7.460,59;14.921,18;3;44.763,54;44.763,54;44.763,54;0;0;196.802,29;196.633,59;168,7;0,09;01/01/2022
145;31313;SAMUR;BA;16;3,6875;9;6,2222;33.151,97;5.327,99;56;298.367,69;298.508,27;298.367,69;140,58;0,05;7;0,4286;10.993,43;25.651,34;3;76.954,02;77.102,02;76.954,02;148;0,19;375.610,29;375.321,71;288,58;0,08;01/02/2022
146;31313;SAMUR;BA;21;5;12;7,8333;43.418,84;5.542,83;94;521.026,03;524.006,39;521.026,03;2.980,36;0,57;9;1,2222;12.189,60;9.973,31;11;109.706,42;109.854,42;109.706,42;148;0,13;633.860,81;630.732,45;3.128,36;0,49;01/03/2022
147;31313;SAMUR;BA;12;7;6;12;45.786,99;3.815,58;72;274.721,93;275.411,05;274.721,93;689,12;0,25;6;2;12.112,24;6.056,12;12;72.673,42;72.673,42;72.673,42;0;0;348.084,47;347.395,35;689,12;0,2;01/04/2022
148;31313;SAMUR;BA;30;4,6667;17;7,8235;73.544,07;9.400,37;133;1.250.249,20;1.276.759,74;1.250.249,20;26.510,54;2,08;13;0,5385;24.426,07;45.362,70;7;317.538,90;317.538,90;317.538,90;0;0;1.594.298,64;1.567.788,10;26.510,54;1,66;01/05/2022
149;31313;SAMUR;BA;25;3,4;12;6,25;37.188,75;5.950,20;75;446.265,06;446.493,97;446.265,06;228,91;0,05;13;0,7692;11.895,83;15.464,58;10;154.645,76;154.645,76;154.645,76;0;0;601.139,73;600.910,82;228,91;0,04;01/06/2022
150;273619;SOMED;BA;2;1;0;0;0;0;0;0;0;0;0;0;2;1;23.590,30;23.590,30;2;47.180,60;65.206,36;47.180,60;18.025,76;27,64;65.206,36;47.180,60;18.025,76;27,64;01/01/2022
151;273619;SOMED;BA;7;1;0;0;0;0;0;0;0;0;0;0;7;1;35.913,49;35.913,49;7;251.394,45;251.634,25;251.394,45;239,8;0,1;251.634,25;251.394,45;239,8;0,1;01/02/2022
152;273619;SOMED;BA;16;1;0;0;0;0;0;0;0;0;0;0;16;1;46.708,15;46.708,15;16;747.330,35;748.512,54;747.330,35;1.182,19;0,16;748.512,54;747.330,35;1.182,19;0,16;01/03/2022
153;273619;SOMED;BA;5;1;0;0;0;0;0;0;0;0;0;0;5;1;35.710,77;35.710,77;5;178.553,84;179.860,35;178.553,84;1.306,51;0,73;179.860,35;178.553,84;1.306,51;0,73;01/04/2022
154;273619;SOMED;BA;2;1;0;0;0;0;0;0;0;0;0;0;2;1;28.424,62;28.424,62;2;56.849,25;59.349,18;56.849,25;2.499,93;4,21;59.349,18;56.849,25;2.499,93;4,21;01/05/2022
155;279811;CEPECE;CE;12;4,3333;12;4,3333;5.319,37;1.227,55;52;63.832,45;68.815,59;63.832,45;4.983,14;7,24;0;0;0;0;0;0;0;0;0;0;68.815,59;63.832,45;4.983,14;7,24;01/01/2022
156;279811;CEPECE;CE;7;5,7143;7;5,7143;6.388,39;1.117,97;40;44.718,76;50.901,24;44.718,76;6.182,48;12,15;0;0;0;0;0;0;0;0;0;0;50.901,24;44.718,76;6.182,48;12,15;01/02/2022
157;279811;CEPECE;CE;6;5,1667;6;5,1667;6.885,51;1.332,68;31;41.313,06;42.415,34;41.313,06;1.102,28;2,6;0;0;0;0;0;0;0;0;0;0;42.415,34;41.313,06;1.102,28;2,6;01/03/2022
158;279811;CEPECE;CE;12;4,5;12;4,5;5.973,45;1.327,43;54;71.681,41;74.080,64;71.681,41;2.399,23;3,24;0;0;0;0;0;0;0;0;0;0;74.080,64;71.681,41;2.399,23;3,24;01/04/2022
159;279811;CEPECE;CE;14;5,2857;14;5,2857;7.161,11;1.354,80;74;100.255,51;103.617,82;100.255,51;3.362,31;3,24;0;0;0;0;0;0;0;0;0;0;103.617,82;100.255,51;3.362,31;3,24;01/05/2022
160;279811;CEPECE;CE;9;3,7778;9;3,7778;4.848,83;1.283,51;34;43.639,46;44.508,38;43.639,46;868,92;1,95;0;0;0;0;0;0;0;0;0;0;44.508,38;43.639,46;868,92;1,95;01/06/2022
161;37915;CLINICA GENESIS;CE;13;1,6154;6;2,3333;38.953,98;16.694,56;14;233.723,90;237.968,26;233.723,90;4.244,36;1,78;7;1;3.736,72;3.736,72;7;26.157,05;26.863,01;26.157,05;705,96;2,63;264.831,27;259.880,95;4.950,32;1,87;01/01/2022
162;37915;CLINICA GENESIS;CE;20;1,45;7;2,2857;10.526,64;4.605,40;16;73.686,46;74.599,80;73.686,46;913,34;1,22;13;1;3.978,58;3.978,58;13;51.721,59;53.235,14;51.721,59;1.513,55;2,84;127.834,94;125.408,05;2.426,89;1,9;01/02/2022
163;37915;CLINICA GENESIS;CE;15;2,0667;5;4,2;9.443,41;2.248,43;21;47.217,05;47.234,29;47.217,05;17,24;0,04;10;1;4.290,53;4.290,53;10;42.905,26;44.213,52;42.905,26;1.308,26;2,96;91.447,81;90.122,31;1.325,50;1,45;01/03/2022
164;37915;CLINICA GENESIS;CE;14;1,8571;3;5;10.337,95;2.067,59;15;31.013,85;31.234,45;31.013,85;220,6;0,71;11;1;1.810,80;1.810,80;11;19.918,78;21.107,06;19.918,78;1.188,28;5,63;52.341,51;50.932,63;1.408,88;2,69;01/04/2022
165;37915;CLINICA GENESIS;CE;26;1,6154;6;2,6667;4.188,26;1.570,60;16;25.129,53;25.369,89;25.129,53;240,36;0,95;20;1,3;3.858,72;2.968,24;26;77.174,33;79.359,82;77.174,33;2.185,49;2,75;104.729,71;102.303,86;2.425,85;2,32;01/05/2022
166;37915;CLINICA GENESIS;CE;24;1,875;8;3,5;3.451,04;986,01;28;27.608,28;29.595,08;27.608,28;1.986,80;6,71;16;1,0625;5.059,55;4.761,93;17;80.952,84;81.829,37;80.952,84;876,53;1,07;111.424,45;108.561,12;2.863,33;2,57;01/06/2022
167;60011;GASTROCLINICA;CE;14;0,7857;4;0,25;54.055,04;216.220,16;1;216.220,16;228.453,43;216.220,16;12.233,27;5,35;10;1;8.170,10;8.170,10;10;81.700,98;85.403,42;81.700,98;3.702,44;4,34;313.856,85;297.921,14;15.935,71;5,08;01/01/2022
168;60011;GASTROCLINICA;CE;31;3,2581;11;2,2727;4.840,50;2.129,82;25;53.245,49;58.854,39;53.245,49;5.608,90;9,53;20;3,8;30.102,47;7.921,70;76;602.049,37;635.072,67;602.049,37;33.023,30;5,2;693.927,06;655.294,86;38.632,20;5,57;01/02/2022
169;60011;GASTROCLINICA;CE;17;2,9412;5;7,8;21.010,08;2.693,60;39;105.050,39;114.526,31;105.050,39;9.475,92;8,27;12;0,9167;24.362,49;26.577,26;11;292.349,87;294.640,51;292.349,87;2.290,64;0,78;409.166,82;397.400,26;11.766,56;2,88;01/03/2022
170;60011;GASTROCLINICA;CE;31;1,3226;9;1,4444;4.207,80;2.913,10;13;37.870,24;38.678,68;37.870,24;808,44;2,09;22;1,2727;13.530,69;10.631,26;28;297.675,14;308.570,38;297.675,14;10.895,24;3,53;347.249,06;335.545,38;11.703,68;3,37;01/04/2022
171;60011;GASTROCLINICA;CE;37;2,0541;12;3,8333;10.278,14;2.681,26;46;123.337,74;131.291,48;123.337,74;7.953,74;6,06;25;1,2;16.283,85;13.569,87;30;407.096,18;412.809,46;407.096,18;5.713,28;1,38;544.100,94;530.433,92;13.667,02;2,51;01/05/2022
172;60011;GASTROCLINICA;CE;28;1,6786;3;1,6667;3.746,91;2.248,15;5;11.240,73;11.914,73;11.240,73;674;5,66;25;1,68;31.066,49;18.491,96;42;776.662,30;789.198,10;776.662,30;12.535,80;1,59;801.112,83;787.903,03;13.209,80;1,65;01/06/2022
173;40312;HOSPITAL CURA DAR S;CE;27;2,963;6;6,6667;39.194,27;5.879,14;40;235.165,61;267.969,76;235.165,61;32.804,15;12,24;21;1,9048;16.506,85;8.666,10;40;346.643,84;383.858,01;346.643,84;37.214,17;9,69;651.827,77;581.809,45;70.018,32;10,74;01/01/2022
174;40312;HOSPITAL CURA DAR S;CE;24;4,5833;10;9,5;75.052,20;7.900,23;95;750.521,98;842.919,21;750.521,98;92.397,23;10,96;14;1,0714;9.342,06;8.719,26;15;130.788,85;134.981,60;130.788,85;4.192,75;3,11;977.900,81;881.310,83;96.589,98;9,88;01/02/2022
175;40312;HOSPITAL CURA DAR S;CE;23;2,6522;15;3,3333;21.572,67;6.471,80;50;323.590,10;353.689,48;323.590,10;30.099,38;8,51;8;1,375;21.761,51;15.826,55;11;174.092,09;189.994,16;174.092,09;15.902,07;8,37;543.683,64;497.682,19;46.001,45;8,46;01/03/2022
176;40312;HOSPITAL CURA DAR S;CE;26;3,1538;8;8,75;26.248,02;2.999,77;70;209.984,12;243.213,78;209.984,12;33.229,66;13,66;18;0,6667;9.982,97;14.974,45;12;179.693,37;185.513,84;179.693,37;5.820,47;3,14;428.727,62;389.677,49;39.050,13;9,11;01/04/2022
177;40312;HOSPITAL CURA DAR S;CE;32;4,0625;9;11,1111;55.219,30;4.969,74;100;496.973,67;561.036,62;496.973,67;64.062,95;11,42;23;1,3043;21.228,91;16.275,50;30;488.264,88;538.723,99;488.264,88;50.459,11;9,37;1.099.760,61;985.238,55;114.522,06;10,41;01/05/2022
178;40312;HOSPITAL CURA DAR S;CE;40;5,525;14;13,7143;56.675,66;4.132,60;192;793.459,29;909.497,82;793.459,29;116.038,53;12,76;26;1,1154;15.481,36;13.879,84;29;402.515,33;421.954,19;402.515,33;19.438,86;4,61;1.331.452,01;1.195.974,62;135.477,39;10,18;01/06/2022
